local_item_id,category_id,item_key,brand,image_url,external_link,external_service,is_active,created_at,updated_at
1,1,movie_tmdb_1236153,,https://image.tmdb.org/t/p/w500/fQ8Q3VAybCt6fHFJQD0kwd5azNL.jpg,https://www.themoviedb.org/movie/1236153,TMDB,t,2026-02-20 07:53:54.524026,2026-02-23 07:02:28.920377
2,1,movie_tmdb_434853,,https://image.tmdb.org/t/p/w500/uje1ecKMnNpZp0at5TxlvVgVXqI.jpg,https://www.themoviedb.org/movie/434853,TMDB,t,2026-02-20 07:53:54.618482,2026-02-23 07:02:29.070855
3,1,movie_tmdb_840464,,https://image.tmdb.org/t/p/w500/z2tqCJLsw6uEJ8nJV8BsQXGa3dr.jpg,https://www.themoviedb.org/movie/840464,TMDB,t,2026-02-20 07:53:54.621989,2026-02-23 07:02:29.08131
4,1,movie_tmdb_1272837,,https://image.tmdb.org/t/p/w500/ubgOSHAEhv1ds8BNHodhCcI13oH.jpg,https://www.themoviedb.org/movie/1272837,TMDB,t,2026-02-20 07:53:54.625336,2026-02-23 07:02:29.059942
5,1,movie_tmdb_1253000,,https://image.tmdb.org/t/p/w500/nEI3DnzQC1afAjJOAizx6UX27pL.jpg,https://www.themoviedb.org/movie/1253000,TMDB,t,2026-02-20 07:53:54.628745,2026-02-23 07:02:29.077249
6,1,movie_tmdb_1168190,,https://image.tmdb.org/t/p/w500/bG8BPNRoOvTC9wIos7DIH1YWOqN.jpg,https://www.themoviedb.org/movie/1168190,TMDB,t,2026-02-20 07:53:54.630727,2026-02-23 07:02:29.118104
7,1,movie_tmdb_1084242,,https://image.tmdb.org/t/p/w500/ib6v6qUXzez1x2qIOLN7C0yJNPQ.jpg,https://www.themoviedb.org/movie/1084242,TMDB,t,2026-02-20 07:53:54.633729,2026-02-23 07:02:29.101634
8,1,movie_tmdb_1316092,,https://image.tmdb.org/t/p/w500/oDXVQRHTomnm9N569Pu2d38IubP.jpg,https://www.themoviedb.org/movie/1316092,TMDB,t,2026-02-20 07:53:54.636179,2026-02-23 07:02:29.130866
9,1,movie_tmdb_1419406,,https://image.tmdb.org/t/p/w500/uiIT7CsJ4V7rMnTqy7xYvj9IRhs.jpg,https://www.themoviedb.org/movie/1419406,TMDB,t,2026-02-20 07:53:54.639143,2026-02-23 07:02:29.0857
10,1,movie_tmdb_1317672,,https://image.tmdb.org/t/p/w500/o6SeivdAJ4ri8EbgJlIiffVN9Q.jpg,https://www.themoviedb.org/movie/1317672,TMDB,t,2026-02-20 07:53:54.641899,2026-02-23 07:02:29.171134
